Station ID,Address,Charger Type,Cost (USD/kWh),Availability,Distance to City (km),Usage Stats (avg users/day),Station Operator,Charging Capacity (kW),Connector Types,Installation Year,Renewable Energy Source,Reviews (Rating),Parking Spots,Maintenance Frequency
EVS00019,"9257 Seoul Ave, Seoul",AC Level 1,0.25,9:00-18:00,7.35,29,Tesla,350,"Type 2, CHAdeMO",2017,No,4.1,2,Monthly
EVS00020,"7288 Mexico City Ave, Mexico City",DC Fast Charger,0.25,6:00-22:00,0.73,12,Tesla,350,Type 2,2023,Yes,3.2,5,Annually
EVS00021,"6470 Random Rd, City 207, Country",DC Fast Charger,0.30,6:00-22:00,10.43,43,Ionity,150,"CHAdeMO, Tesla",2016,Yes,3.3,10,Quarterly
EVS00022,"9338 Moscow Ave, Moscow",AC Level 2,0.10,24/7,5.45,47,Tesla,350,CCS,2020,No,4.7,5,Quarterly
EVS00023,"1194 Cape Town Ave, Cape Town",AC Level 2,0.43,9:00-18:00,15.05,14,Greenlots,350,"CHAdeMO, Tesla",2020,Yes,4.2,10,Annually
EVS00024,"128 Berlin Ave, Berlin",DC Fast Charger,0.21,24/7,9.92,52,Tesla,22,CHAdeMO,2023,Yes,4.4,2,Annually
EVS00025,"1788 Chicago Ave, Chicago",AC Level 1,0.50,9:00-18:00,4.71,67,ChargePoint,50,"CCS, Tesla",2021,No,4.7,7,Quarterly
EVS00026,"6257 Beijing Ave, Beijing",DC Fast Charger,0.47,24/7,8.30,99,Greenlots,50,Type 2,2015,No,4.1,1,Monthly
EVS00027,"5641 Bangkok Ave, Bangkok",DC Fast Charger,0.50,9:00-18:00,17.76,25,ChargePoint,150,Tesla,2020,No,4.1,7,Annually
EVS00028,"1145 São Paulo Ave, São Paulo",AC Level 1,0.25,24/7,13.65,52,Tesla,50,CCS,2014,No,4.7,3,Quarterly
EVS00029,"3343 Sydney Ave, Sydney",AC Level 1,0.45,6:00-22:00,8.36,72,Ionity,22,Tesla,2017,No,4.8,9,Annually
EVS00030,"7835 Beijing Ave, Beijing",DC Fast Charger,0.20,6:00-22:00,5.52,27,EVgo,50,"CHAdeMO, Type 2",2013,No,3.0,5,Annually
EVS00031,"8491 Random Rd, City 59, Country",AC Level 2,0.17,24/7,9.13,36,Tesla,22,"CHAdeMO, CCS",2018,Yes,3.6,5,Quarterly
EVS00032,"3787 Beijing Ave, Beijing",AC Level 2,0.19,9:00-18:00,18.44,90,Tesla,150,"Tesla, Type 2",2020,Yes,4.1,3,Quarterly
EVS00033,"5423 São Paulo Ave, São Paulo",DC Fast Charger,0.46,24/7,18.39,97,Tesla,350,"CCS, Type 2",2018,No,3.7,7,Monthly
EVS00034,"8032 Beijing Ave, Beijing",AC Level 1,0.21,6:00-22:00,0.84,59,EVgo,150,"CHAdeMO, CCS",2018,Yes,3.7,9,Monthly
EVS00035,"9647 Chicago Ave, Chicago",AC Level 2,0.22,9:00-18:00,9.70,16,Ionity,50,CHAdeMO,2015,Yes,4.4,2,Annually
EVS00036,"1648 Toronto Ave, Toronto",AC Level 2,0.39,6:00-22:00,10.84,21,Greenlots,22,"Type 2, Tesla",2012,Yes,4.7,4,Monthly
EVS00037,"880 Bangkok Ave, Bangkok",AC Level 1,0.29,9:00-18:00,1.28,50,Greenlots,350,Type 2,2016,No,4.3,1,Quarterly
EVS00038,"8960 Sydney Ave, Sydney",AC Level 1,0.13,9:00-18:00,19.06,61,Ionity,22,CHAdeMO,2018,Yes,4.2,4,Quarterly
EVS00039,"2131 Beijing Ave, Beijing",DC Fast Charger,0.37,24/7,15.63,69,Ionity,350,"CCS, CHAdeMO",2023,Yes,4.2,3,Annually
EVS00040,"6005 Cape Town Ave, Cape Town",AC Level 2,0.41,24/7,14.62,15,Tesla,50,"CHAdeMO, Tesla",2012,No,4.9,1,Annually
EVS00041,"1309 Random Rd, City 47, Country",AC Level 1,0.44,6:00-22:00,2.03,20,EVgo,350,Tesla,2014,No,5.0,3,Annually
EVS00042,"2960 Chicago Ave, Chicago",DC Fast Charger,0.39,9:00-18:00,19.63,14,Tesla,50,"Type 2, Tesla",2023,No,4.8,3,Monthly
EVS00043,"1916 Dubai Ave, Dubai",AC Level 1,0.27,6:00-22:00,5.06,73,Greenlots,50,"Tesla, CHAdeMO",2012,Yes,4.3,8,Quarterly
EVS00044,"5156 Seoul Ave, Seoul",AC Level 1,0.36,9:00-18:00,2.38,96,ChargePoint,50,CCS,2019,No,3.8,3,Monthly
EVS00045,"7799 Sydney Ave, Sydney",AC Level 2,0.40,9:00-18:00,19.67,78,Ionity,22,Tesla,2018,Yes,4.4,3,Quarterly
EVS00046,"8397 Chicago Ave, Chicago",DC Fast Charger,0.22,9:00-18:00,2.58,12,EVgo,50,Tesla,2020,No,3.6,3,Quarterly
EVS00047,"2970 Mumbai Ave, Mumbai",AC Level 1,0.35,24/7,19.40,68,Ionity,50,"CCS, Tesla",2021,Yes,3.0,9,Quarterly
EVS00048,"4355 Sydney Ave, Sydney",DC Fast Charger,0.13,24/7,2.31,56,ChargePoint,150,CHAdeMO,2022,No,3.5,4,Annually
EVS00049,"689 Chicago Ave, Chicago",AC Level 1,0.18,9:00-18:00,19.26,40,ChargePoint,150,"CHAdeMO, CCS",2011,Yes,3.8,8,Monthly
EVS00050,"8531 Los Angeles Ave, Los Angeles",AC Level 2,0.47,24/7,2.49,26,ChargePoint,150,Tesla,2023,Yes,4.3,9,Monthly
EVS00051,"7905 Random Rd, City 102, Country",AC Level 1,0.45,24/7,2.29,75,EVgo,50,CHAdeMO,2022,No,5.0,9,Annually
EVS00052,"8806 Berlin Ave, Berlin",AC Level 2,0.33,9:00-18:00,8.56,50,ChargePoint,50,"CHAdeMO, CCS",2011,No,3.4,3,Monthly
EVS00053,"4130 Moscow Ave, Moscow",AC Level 2,0.49,9:00-18:00,3.09,79,Greenlots,22,"CCS, Tesla",2017,No,3.8,4,Annually
EVS00054,"6541 Chicago Ave, Chicago",DC Fast Charger,0.37,24/7,1.98,79,Ionity,50,CHAdeMO,2016,Yes,4.7,4,Annually
EVS00055,"4005 Seoul Ave, Seoul",AC Level 1,0.13,24/7,9.16,19,Tesla,150,CHAdeMO,2013,Yes,3.5,5,Quarterly
EVS00056,"5574 Mumbai Ave, Mumbai",AC Level 2,0.18,6:00-22:00,11.91,50,ChargePoint,150,CCS,2013,Yes,4.2,4,Quarterly
EVS00057,"6085 Dubai Ave, Dubai",DC Fast Charger,0.42,9:00-18:00,15.85,67,Greenlots,50,CHAdeMO,2018,No,4.5,8,Quarterly
EVS00058,"4787 Seoul Ave, Seoul",AC Level 1,0.41,9:00-18:00,13.14,71,EVgo,150,"Tesla, CCS",2012,Yes,4.0,4,Monthly
EVS00059,"4378 Chicago Ave, Chicago",DC Fast Charger,0.18,24/7,6.73,13,EVgo,350,CHAdeMO,2022,No,3.5,9,Quarterly
EVS00060,"16 Chicago Ave, Chicago",AC Level 2,0.30,9:00-18:00,6.78,26,Tesla,22,Tesla,2010,Yes,3.1,4,Monthly
EVS00061,"5140 Random Rd, City 50, Country",DC Fast Charger,0.33,9:00-18:00,14.40,75,Ionity,22,Tesla,2020,No,4.6,4,Quarterly
EVS00062,"7833 Cape Town Ave, Cape Town",DC Fast Charger,0.23,6:00-22:00,0.68,68,Greenlots,50,Type 2,2023,Yes,4.9,8,Quarterly
EVS00063,"2876 Chicago Ave, Chicago",DC Fast Charger,0.28,9:00-18:00,0.96,49,Greenlots,350,Type 2,2018,No,3.8,9,Annually
EVS00064,"5576 Toronto Ave, Toronto",AC Level 2,0.36,24/7,5.16,31,Ionity,22,Tesla,2018,Yes,3.3,4,Annually
EVS00065,"335 Dubai Ave, Dubai",DC Fast Charger,0.27,24/7,6.58,67,Greenlots,350,"CCS, Type 2",2019,No,4.8,7,Quarterly
EVS00066,"9172 Sydney Ave, Sydney",DC Fast Charger,0.32,24/7,13.68,31,EVgo,350,Tesla,2013,Yes,3.6,3,Monthly
EVS00067,"5052 Seoul Ave, Seoul",AC Level 2,0.45,24/7,8.37,20,Greenlots,150,CHAdeMO,2020,Yes,3.0,3,Monthly
EVS00068,"6966 Beijing Ave, Beijing",DC Fast Charger,0.36,24/7,11.72,43,Tesla,350,"CHAdeMO, Type 2",2015,No,4.5,3,Quarterly
EVS00069,"1979 Dubai Ave, Dubai",DC Fast Charger,0.14,6:00-22:00,4.71,13,Ionity,50,"Tesla, CCS",2016,Yes,3.9,8,Monthly
EVS00070,"436 Los Angeles Ave, Los Angeles",DC Fast Charger,0.41,6:00-22:00,8.75,31,ChargePoint,150,Tesla,2020,No,4.4,10,Quarterly
EVS00071,"6980 Random Rd, City 205, Country",AC Level 2,0.44,9:00-18:00,11.03,19,Greenlots,50,CCS,2017,Yes,4.0,3,Monthly
EVS00072,"9085 Cape Town Ave, Cape Town",AC Level 1,0.46,9:00-18:00,4.17,37,Tesla,22,CHAdeMO,2020,Yes,4.9,6,Quarterly
EVS00073,"1856 Los Angeles Ave, Los Angeles",AC Level 2,0.34,9:00-18:00,2.35,99,Ionity,22,CCS,2016,No,4.4,2,Monthly
EVS00074,"493 Beijing Ave, Beijing",AC Level 1,0.23,24/7,14.31,80,Ionity,350,"Type 2, CHAdeMO",2018,No,4.7,10,Monthly
EVS00075,"9969 Beijing Ave, Beijing",DC Fast Charger,0.45,6:00-22:00,11.68,46,Greenlots,22,CCS,2017,Yes,4.6,1,Annually
EVS00076,"3924 São Paulo Ave, São Paulo",AC Level 2,0.16,24/7,12.25,12,Tesla,50,CCS,2022,Yes,3.1,8,Monthly
EVS00077,"8503 Bangkok Ave, Bangkok",DC Fast Charger,0.46,9:00-18:00,13.81,15,Greenlots,22,CCS,2023,Yes,5.0,10,Monthly
EVS00078,"8542 Sydney Ave, Sydney",AC Level 2,0.34,24/7,8.41,100,ChargePoint,350,Tesla,2017,Yes,3.1,5,Monthly
EVS00079,"3381 Mumbai Ave, Mumbai",DC Fast Charger,0.27,6:00-22:00,10.44,75,ChargePoint,350,"CHAdeMO, Tesla",2022,Yes,4.6,2,Annually
EVS00080,"1935 Los Angeles Ave, Los Angeles",AC Level 2,0.45,24/7,19.25,99,EVgo,150,"CHAdeMO, Tesla",2021,Yes,3.7,4,Annually
EVS00081,"7612 Random Rd, City 96, Country",AC Level 2,0.35,9:00-18:00,5.63,91,EVgo,350,CHAdeMO,2023,No,4.1,10,Annually
EVS00082,"9806 Mexico City Ave, Mexico City",DC Fast Charger,0.32,24/7,16.79,31,EVgo,50,Type 2,2023,Yes,3.5,4,Quarterly
EVS00083,"4122 Cape Town Ave, Cape Town",AC Level 2,0.36,6:00-22:00,16.47,32,Ionity,350,Tesla,2014,Yes,3.8,8,Quarterly
EVS00084,"6532 Moscow Ave, Moscow",AC Level 2,0.28,6:00-22:00,13.67,82,ChargePoint,150,Tesla,2010,Yes,3.8,1,Monthly
EVS00085,"6285 Chicago Ave, Chicago",AC Level 2,0.13,6:00-22:00,8.18,40,Tesla,50,Tesla,2012,Yes,4.9,9,Monthly
EVS00086,"1381 Beijing Ave, Beijing",AC Level 2,0.49,24/7,16.11,99,Tesla,50,"CHAdeMO, Type 2",2011,Yes,4.6,8,Monthly
EVS00087,"6829 Chicago Ave, Chicago",AC Level 2,0.20,6:00-22:00,3.17,91,EVgo,50,Type 2,2019,No,4.5,10,Monthly
EVS00088,"760 Cape Town Ave, Cape Town",DC Fast Charger,0.37,6:00-22:00,19.09,68,Ionity,350,Type 2,2022,No,4.4,6,Monthly
EVS00089,"7708 Toronto Ave, Toronto",AC Level 1,0.16,9:00-18:00,3.08,99,ChargePoint,50,CHAdeMO,2018,No,3.7,6,Quarterly
EVS00090,"4669 Moscow Ave, Moscow",AC Level 2,0.47,6:00-22:00,14.45,11,EVgo,150,"Type 2, Tesla",2016,Yes,4.2,3,Quarterly
EVS00091,"9222 Random Rd, City 384, Country",AC Level 1,0.19,24/7,11.59,98,Ionity,150,Tesla,2015,Yes,4.3,10,Monthly
EVS00092,"7476 San Francisco Ave, San Francisco",AC Level 1,0.39,24/7,13.83,58,EVgo,350,"Tesla, CCS",2018,Yes,3.7,3,Annually
EVS00093,"6288 Berlin Ave, Berlin",AC Level 1,0.11,9:00-18:00,6.63,18,Greenlots,350,"CHAdeMO, Type 2",2022,Yes,4.9,8,Annually
EVS00094,"9796 Berlin Ave, Berlin",AC Level 2,0.30,9:00-18:00,5.57,79,Tesla,50,CCS,2018,Yes,3.5,7,Monthly
EVS00095,"2173 Bangkok Ave, Bangkok",AC Level 1,0.30,6:00-22:00,10.97,67,Greenlots,22,CHAdeMO,2021,No,3.9,3,Quarterly
EVS00096,"3633 São Paulo Ave, São Paulo",AC Level 1,0.11,24/7,18.49,85,ChargePoint,50,"Type 2, CHAdeMO",2014,Yes,4.9,2,Monthly
EVS00097,"8984 Los Angeles Ave, Los Angeles",AC Level 2,0.44,24/7,9.05,25,Tesla,22,"CCS, CHAdeMO",2020,Yes,4.5,5,Quarterly
EVS00098,"7371 Beijing Ave, Beijing",DC Fast Charger,0.20,6:00-22:00,10.82,85,Tesla,350,"CHAdeMO, Type 2",2023,No,3.8,5,Quarterly
EVS00099,"8983 Dubai Ave, Dubai",AC Level 2,0.41,9:00-18:00,4.43,17,Tesla,350,"Type 2, CCS",2015,Yes,3.9,8,Quarterly
EVS00100,"1750 Seoul Ave, Seoul",AC Level 2,0.41,9:00-18:00,3.00,54,ChargePoint,150,Type 2,2018,No,4.8,10,Monthly
EVS00101,"7940 Random Rd, City 40, Country",DC Fast Charger,0.12,24/7,3.06,22,ChargePoint,50,Tesla,2013,Yes,3.2,1,Quarterly
EVS00102,"7022 Beijing Ave, Beijing",DC Fast Charger,0.12,24/7,17.81,41,Ionity,22,"CHAdeMO, Type 2",2023,No,3.2,4,Monthly
EVS00103,"5496 Seoul Ave, Seoul",AC Level 1,0.32,9:00-18:00,8.26,20,Greenlots,22,Type 2,2010,No,3.3,7,Monthly
EVS00104,"4326 Toronto Ave, Toronto",AC Level 2,0.14,6:00-22:00,19.64,93,Ionity,22,"CCS, Tesla",2020,No,3.4,5,Annually
EVS00105,"1236 Mexico City Ave, Mexico City",AC Level 2,0.26,24/7,3.62,76,EVgo,150,Type 2,2018,No,4.4,10,Quarterly
EVS00106,"2317 Mexico City Ave, Mexico City",AC Level 2,0.29,9:00-18:00,0.56,47,ChargePoint,350,Type 2,2012,No,3.2,1,Monthly
EVS00107,"7328 Cape Town Ave, Cape Town",DC Fast Charger,0.31,6:00-22:00,12.84,96,ChargePoint,22,Tesla,2011,No,4.8,7,Annually
EVS00108,"9772 Mumbai Ave, Mumbai",AC Level 2,0.11,6:00-22:00,3.14,43,Tesla,350,CCS,2020,Yes,5.0,7,Annually
EVS00109,"5042 Moscow Ave, Moscow",DC Fast Charger,0.19,24/7,17.93,62,Ionity,50,CCS,2018,No,3.3,7,Quarterly
EVS00110,"7308 Beijing Ave, Beijing",AC Level 1,0.19,9:00-18:00,3.73,68,EVgo,350,"CHAdeMO, Type 2",2018,Yes,4.3,9,Quarterly
EVS00111,"7129 Random Rd, City 300, Country",DC Fast Charger,0.15,6:00-22:00,7.14,43,Ionity,350,Type 2,2010,Yes,3.2,7,Quarterly
EVS00112,"4833 Chicago Ave, Chicago",AC Level 1,0.35,6:00-22:00,2.20,48,Greenlots,50,Tesla,2017,Yes,4.1,2,Quarterly
EVS00113,"563 Bangkok Ave, Bangkok",AC Level 2,0.27,24/7,17.19,22,ChargePoint,150,"CCS, CHAdeMO",2014,Yes,3.2,10,Annually
EVS00114,"1666 Mumbai Ave, Mumbai",AC Level 2,0.39,6:00-22:00,18.54,19,ChargePoint,50,"Tesla, Type 2",2022,Yes,3.5,9,Quarterly
EVS00115,"3505 Seoul Ave, Seoul",AC Level 2,0.31,6:00-22:00,9.12,59,Greenlots,50,"Tesla, Type 2",2018,No,3.4,4,Monthly
EVS00116,"8657 Chicago Ave, Chicago",AC Level 2,0.30,6:00-22:00,1.96,57,ChargePoint,50,Tesla,2017,Yes,4.9,1,Annually
EVS00117,"2491 Beijing Ave, Beijing",AC Level 2,0.37,6:00-22:00,6.45,44,Ionity,22,"CHAdeMO, CCS",2010,No,4.1,7,Annually
EVS00118,"7486 Dubai Ave, Dubai",DC Fast Charger,0.17,24/7,13.63,89,Tesla,22,CCS,2015,No,4.4,8,Quarterly
EVS00119,"157 Dubai Ave, Dubai",AC Level 2,0.18,9:00-18:00,18.85,44,Greenlots,50,"CCS, CHAdeMO",2017,Yes,3.9,6,Monthly
EVS00120,"3530 Sydney Ave, Sydney",AC Level 2,0.28,24/7,11.27,62,Tesla,150,"Type 2, CHAdeMO",2023,No,3.1,9,Annually
EVS00121,"950 Random Rd, City 136, Country",DC Fast Charger,0.40,24/7,6.67,92,Tesla,150,"CCS, Type 2",2017,Yes,3.6,3,Annually
EVS00122,"170 Los Angeles Ave, Los Angeles",AC Level 2,0.29,9:00-18:00,18.60,57,Greenlots,50,CCS,2021,Yes,3.3,2,Monthly
EVS00123,"8450 São Paulo Ave, São Paulo",AC Level 2,0.21,6:00-22:00,7.71,62,Tesla,50,Type 2,2021,Yes,3.7,7,Quarterly
EVS00124,"5746 Moscow Ave, Moscow",AC Level 2,0.46,24/7,8.61,83,EVgo,50,"Tesla, CHAdeMO",2019,Yes,4.5,6,Monthly
EVS00125,"5550 Sydney Ave, Sydney",DC Fast Charger,0.48,6:00-22:00,14.60,33,Tesla,50,"CHAdeMO, CCS",2022,No,3.1,1,Monthly
EVS00126,"7503 Seoul Ave, Seoul",AC Level 1,0.47,24/7,14.80,45,Tesla,150,"Type 2, Tesla",2021,Yes,4.3,10,Annually
EVS00127,"6276 Mexico City Ave, Mexico City",DC Fast Charger,0.21,6:00-22:00,5.86,49,Ionity,22,CCS,2012,No,4.2,8,Quarterly
EVS00128,"6208 Sydney Ave, Sydney",AC Level 2,0.16,24/7,15.95,71,Ionity,50,CCS,2013,No,4.1,6,Annually
EVS00129,"3833 Beijing Ave, Beijing",AC Level 1,0.10,6:00-22:00,11.77,66,Ionity,22,"CCS, Type 2",2021,Yes,4.3,4,Quarterly
EVS00130,"4948 Chicago Ave, Chicago",DC Fast Charger,0.35,24/7,10.65,58,EVgo,150,CCS,2013,Yes,4.0,4,Annually
EVS00131,"8806 Random Rd, City 293, Country",AC Level 1,0.16,6:00-22:00,16.30,28,Tesla,50,CCS,2012,Yes,4.5,1,Annually
EVS00132,"2642 Chicago Ave, Chicago",AC Level 1,0.27,9:00-18:00,4.99,32,EVgo,150,CCS,2016,No,4.9,1,Quarterly
EVS00133,"1811 Dubai Ave, Dubai",DC Fast Charger,0.43,6:00-22:00,2.45,37,EVgo,22,Tesla,2014,Yes,4.8,4,Monthly
EVS00134,"3495 Chicago Ave, Chicago",AC Level 1,0.33,24/7,9.03,26,Greenlots,50,"Tesla, CCS",2017,No,4.5,8,Monthly
EVS00135,"821 Mumbai Ave, Mumbai",DC Fast Charger,0.25,6:00-22:00,6.60,45,Greenlots,350,"Tesla, Type 2",2017,No,4.3,10,Quarterly
EVS00136,"6193 Sydney Ave, Sydney",AC Level 1,0.34,6:00-22:00,5.92,30,Tesla,350,"CHAdeMO, Tesla",2010,No,4.6,4,Quarterly
EVS00137,"3078 Cape Town Ave, Cape Town",AC Level 1,0.41,9:00-18:00,0.59,37,Ionity,350,Type 2,2020,Yes,3.4,4,Quarterly
EVS00138,"4542 Toronto Ave, Toronto",DC Fast Charger,0.33,6:00-22:00,18.44,98,Tesla,22,"CHAdeMO, CCS",2019,Yes,4.7,2,Quarterly
EVS00139,"852 Beijing Ave, Beijing",AC Level 1,0.34,6:00-22:00,12.54,94,Ionity,22,Type 2,2016,Yes,5.0,3,Quarterly
EVS00140,"5698 Cape Town Ave, Cape Town",AC Level 2,0.50,6:00-22:00,6.97,76,Tesla,350,CCS,2011,Yes,4.3,4,Monthly
EVS00141,"8709 Random Rd, City 424, Country",AC Level 1,0.35,6:00-22:00,13.30,87,Tesla,22,"CCS, Type 2",2010,No,4.7,6,Quarterly
EVS00142,"3638 Beijing Ave, Beijing",AC Level 1,0.11,24/7,8.57,85,ChargePoint,150,CCS,2022,No,4.4,10,Monthly
EVS00143,"4783 Cape Town Ave, Cape Town",AC Level 2,0.44,6:00-22:00,0.74,14,ChargePoint,50,"Type 2, CCS",2023,No,3.4,8,Monthly
EVS00144,"7845 Toronto Ave, Toronto",DC Fast Charger,0.15,6:00-22:00,14.65,80,Greenlots,150,CCS,2017,Yes,4.1,4,Annually
EVS00145,"3962 Moscow Ave, Moscow",AC Level 1,0.50,24/7,10.27,34,Greenlots,350,"CCS, Tesla",2012,Yes,4.4,9,Annually
EVS00146,"7670 São Paulo Ave, São Paulo",DC Fast Charger,0.20,24/7,18.53,33,Greenlots,50,CHAdeMO,2010,Yes,4.1,3,Annually
EVS00147,"642 Bangkok Ave, Bangkok",AC Level 1,0.39,6:00-22:00,14.29,42,ChargePoint,350,Tesla,2011,Yes,4.1,9,Quarterly
EVS00148,"668 Berlin Ave, Berlin",AC Level 1,0.41,6:00-22:00,0.64,52,ChargePoint,150,Tesla,2011,No,5.0,6,Monthly
EVS00149,"2735 Mexico City Ave, Mexico City",AC Level 2,0.26,24/7,10.30,75,Tesla,50,"CHAdeMO, Type 2",2018,Yes,4.8,9,Quarterly
EVS00150,"8002 San Francisco Ave, San Francisco",AC Level 2,0.50,6:00-22:00,13.46,95,EVgo,22,Type 2,2017,No,5.0,1,Monthly
EVS00151,"9467 Random Rd, City 394, Country",AC Level 2,0.50,9:00-18:00,19.37,22,Ionity,50,CCS,2013,Yes,3.2,7,Quarterly
EVS00152,"9559 Berlin Ave, Berlin",AC Level 2,0.25,9:00-18:00,11.02,92,Greenlots,22,"CCS, Tesla",2017,No,4.1,3,Monthly
EVS00153,"1810 Cape Town Ave, Cape Town",AC Level 2,0.33,6:00-22:00,7.88,90,ChargePoint,150,"Tesla, CHAdeMO",2015,No,4.6,1,Quarterly
EVS00154,"8891 Toronto Ave, Toronto",AC Level 2,0.33,24/7,3.85,39,Greenlots,150,"CHAdeMO, Tesla",2019,Yes,4.7,5,Quarterly
EVS00155,"866 Dubai Ave, Dubai",AC Level 2,0.11,6:00-22:00,5.51,93,Tesla,50,"Type 2, CCS",2019,Yes,4.3,4,Annually
EVS00156,"8440 Dubai Ave, Dubai",AC Level 2,0.45,24/7,9.78,23,Greenlots,350,"CHAdeMO, Tesla",2020,No,3.7,10,Quarterly
EVS00157,"4259 Sydney Ave, Sydney",AC Level 2,0.22,24/7,4.19,18,Tesla,22,Tesla,2022,Yes,4.9,9,Monthly
EVS00158,"8145 Bangkok Ave, Bangkok",DC Fast Charger,0.13,6:00-22:00,14.81,42,Greenlots,150,CCS,2011,Yes,4.9,4,Monthly
EVS00159,"2502 Chicago Ave, Chicago",AC Level 2,0.37,9:00-18:00,13.61,41,Greenlots,50,CHAdeMO,2021,No,4.0,6,Annually
EVS00160,"5969 Beijing Ave, Beijing",DC Fast Charger,0.39,6:00-22:00,17.32,32,Ionity,350,Tesla,2010,No,4.9,3,Monthly
EVS00161,"4227 Random Rd, City 428, Country",AC Level 2,0.12,9:00-18:00,14.91,53,ChargePoint,22,"CCS, Tesla",2016,No,4.9,3,Annually
EVS00162,"273 San Francisco Ave, San Francisco",DC Fast Charger,0.30,24/7,13.53,30,Ionity,150,CCS,2018,Yes,4.5,3,Annually
EVS00163,"9567 Moscow Ave, Moscow",DC Fast Charger,0.29,9:00-18:00,18.40,17,Tesla,350,Tesla,2021,No,3.8,1,Quarterly
EVS00164,"2651 Moscow Ave, Moscow",AC Level 1,0.12,6:00-22:00,16.50,52,Greenlots,22,Tesla,2015,Yes,4.0,2,Annually
EVS00165,"9305 Los Angeles Ave, Los Angeles",AC Level 1,0.46,9:00-18:00,18.56,100,ChargePoint,50,"CHAdeMO, CCS",2022,Yes,4.2,9,Monthly
EVS00166,"3107 Beijing Ave, Beijing",AC Level 1,0.15,6:00-22:00,16.48,70,Tesla,350,"CCS, CHAdeMO",2013,No,3.7,9,Quarterly
EVS00167,"9001 Seoul Ave, Seoul",DC Fast Charger,0.33,24/7,4.01,53,EVgo,150,CHAdeMO,2014,Yes,4.7,5,Quarterly
EVS00168,"2338 San Francisco Ave, San Francisco",DC Fast Charger,0.13,9:00-18:00,16.32,69,Ionity,150,"Tesla, CHAdeMO",2015,Yes,3.4,7,Monthly
EVS00169,"7216 Los Angeles Ave, Los Angeles",DC Fast Charger,0.47,6:00-22:00,19.40,37,Ionity,22,CCS,2013,Yes,3.8,1,Monthly
EVS00170,"3420 Sydney Ave, Sydney",AC Level 2,0.38,24/7,12.78,94,Greenlots,350,CCS,2012,No,4.6,4,Annually
